Title,Data,Category
"WARNING! Delivered empty package and no refund!

","On August 13th Farfetch delivered an EMPTY package that was supposed to contain a 175,5 euro wallet! The package was sealed with the original Farfetch tape. I immediately contacted Farfetch and instead of helping they kept me waiting for weeks and in the end did NOTHING and claimed it wasn&apos;t their fault. After complaining online again, they sent me this:&quot;After careful review of your order details, we’re unable to issue you a refund for this order. We have confirmed that our partner included your item in the package sent to you.As an added measure, we also checked with the shipping partner who advised the package was not tampered with before or during delivery.&quot;In other words they claim that neither they nor the delivery company are at fault and refuse to refund. Did the wallet magically disappear as soon as the delivery person handed it to me??Farfetch: give me my money back!

",neg
"Incorrect Shoe Size Shipped

","I provided a 1 star because the incorrect size was shippped to my house. This is a Christmas gift for my daughter and now she is not going to have a Christmas gift.

",neg
"Worst site ridiculous

","Worst site ridiculous not once but twice was sent wrong shoe size crazy first was sent size 9  (I’m a size 10.5/11) second time size 7 this a joke have no idea what’s going on lol this crazy.

",neg
"Show box was worn out and not…

","Show box was worn out and not presentable. Looked like the shoes were used. This is a Christmas gift and I am not happy with the presentation.

",neg
"Following on from poor customer service...

","So, having requested my third (!) pickup, I am still waiting. For some reason I can&apos;t get the courier to collect. I have now wasted 12 hours waiting in. I have requested a supervisor call me as I am not getting anywhere, but no-one has; no-one cares. After waiting 10 minutes to speak to someone again, have been offered a drop off option which I am taking as I don&apos;t believe anyone will ever pick this up. Please do not use this company. If your item arrives damaged, as mine did, they just won&apos;t pick it up and therefore you don&apos;t get a refund.

",neg
"Really bad experience

","Really bad experience. They send me a wrong item and I couldn’t give back because I exceeded 14 days. The worse part is that I haven’t been refund at all. No recommended

",neg
"Thought this company was one of the…

","Thought this company was one of the best, have recently found out it’s clearly not. Bought a product, received it faulty instead of helping the customer in terms of getting a quick refund as it was their error, it’s coming up to a month and I’m still waiting for my refund, I’m going to happily delete the Farfetch after this is finally resolved and not even bother with them again! I’d advise everyone else too also, so many better company’s out there. Brown’s Fashion being one

",neg
"Terrible experience

","Terrible experience. Faulty item arrived, waited in two full mornings for the returns courier. A week later the return was sent back to me with no reason given. Complicated returns process - the instructions given in the email from customer service differ from instructions given on the website. Avoid - worst retailer I’ve come across.Edit to add - I’ve received a call from the return courier to ask for more information before the return pick up can be confirmed. I am doubtful as to whether the return will be picked up as Farfetch have not responded! Terrible service!!!

",neg
"Don’t refund for damaged and faulty items

","I purchased a Fendi ring which after 1 week of wearing tarnished and the finish of the ring had literally come off. Complained to Farfetch, Sophia I have been dealing with has been responsive but they will not refund me for the ring which I find unacceptable. All they are offering is an exchange which I don’t want because I have no confidence the replacement fendi ring isn’t going to tarnish in the same way! Not impressed, bottom line is the item is sub standard so I should be entitled to my money back! Bought a fair bit with Farfetch and spent a lot of money BUT won’t be shopping with Farfetch again that’s for sure!

",neg
"The worst customer service

","This is the worst customer service and customer care retailer that I have ever experienced. My parcel went missing and what they could track with their courier is a picture of a small &quot;child&quot; with an armful of parcels, no indication of the address, house number where they delivered it to. The &quot;child&quot; is not me or anyone I know. I live in a building with 22 flats, Farfetch saying that they are not going to do anything, no refund or replacement as according to their courier it was delivered to my building..??!! But no proof of delivery to me, no picture to proof which building it was delivered to. I tried showing the picture of the &apos;child receiver&apos; across my building, no one has seen or know the person! All in all, bad service from Farfetch, zero customer care and really a FRAUD as I did not receive the item I paid for and I also paid for signed delivery, so please do not leave my parcel at a random place with random people! Do not buy from this place, there are other better online retailers!

",neg
"Rude customer service

","I purchased a pricey item from Farfetch, it arrived in an envelope which had been absolutely ruined after being posted all the way from Italy. I complained about the way my designer item arrived and there customer service has been shocking. At first they would discuss it, then they blamed the designer, and now there response is ‘return it’ not one apology in my countless emails to them. Please avoid this company or you will just get headache after headache, there are so many maxing companies out there. Avoid this one, I’m begging you!

",neg
"I&apos;ve been told that the items ordered…

","I&apos;ve been told that the items ordered were delivered.  They have not. I am disappointed and very concerned.  Will be calling my cc company tomorrow.

",neg
"One of the shirts I received is very…

","One of the shirts I received is very poor quality compared to the other yet they are the same brand. I believe it is a fake.

",neg
"My order arrived damaged and I can&apos;t arrange a return

","My order arrived damaged. It was collected by DHL for a return but they then delivered it back again to me(!) I rang again and the paperwork was not sent as promised so I rang a third time and booked anther pick up that never showed up. I have now rung a fourth time and am still waiting for even more paperwork that hasn&apos;t arrived. No-one will take responsibility and no-one has even apologised for the faulty goods. I will never use them again. I just want my refund.

",neg
"Still no refund

","Ordered a jacket of 545 euro and it arrived damaged. I sent the article back immediately. Two months later I still did not receive a refund. Its a lot of money and I wonder if I will ever get it back.

",neg
"Was not happy

","Was not happy, I paid $1750 for the bag but no proper box, and bag looks second hand.

",neg
"Consistently received scratched…

","Consistently received scratched sunglasses (3 pairs).  Avoid ordering glasses.

",neg
"I ordered a size 7 trainer and they…

","I ordered a size 7 trainer and they sent a size 9 spoke to someone on the phone and they said send them back but wouldn’t exchange them for the correct size,I sent them back 5 weeks ago and still not received a refund,seems like they do this a lot reading some of the other reviews I will be reporting them to my bank tomorrow as it’s an absolute joke they took a week to deliver and still waiting 5 weeks for refund seems like they just like holding peoples money.

",neg
"Farfetched is a horrible company

","Farfetched is a horrible company. I have never experienced what they have put me through from any other company I have shopped with. I purchased $400 shirt from them on September 2nd because I was referred by a relative. I originally purchased 2 shirts but one was canceled due to it being sold out. My package was scheduled to be delivered on September 9th by fedex the package was supposedly delivered on September 8th. When I called farfetch and told them I hadn&apos;t received my package they claim I signed for it and I explained that there was no way I wasn&apos;t home I was in a meeting finalizing my child event. The company claimed to have opened up a investigation but closed it after a day and half. I reached out to fedex that told me they see I didn&apos;t sign for the package that the driver signed it and put left on the porch. I live in a apartment building and it clearly states this. If the packages was supposed to be signed that should indicate the package is of some value. So no one but me or member of my house should have signed.I contacted my bank that instructed me to resolve it with merchant I sent the letter that was sent to me by fedex executive department stating that driver signed and left the package and the company can file a claim. They just sent me a email after claim was reopen yesterday saying its closed with no detail. They are being completely dismissive to the fact I dont have a package and they are refusing to file claim with fedex. Im currently working with fedex executive department. This is really ridiculous. Im a first time customer and there is no customer service in the poor service they have provided. So they get to keep my money $400 and I have nothing and fedex stated several times they can file a claim. If the package was stolen thats not my fault they delivered with fedex and the driver illegally signed my name. They are now saying I filed a dispute with my bank which they told me too in order to get funds back and they claim its still on going which my bank has confused its not. My bank and fedex are both confused as why a dispute with my bank is preventing them for filing a claim with fedex.@farfetched what is the request for more information? What information your requested? I placed a order i never received I been trying and trying to get this resolved since September. I provided proof from fedex and still getting no help from yall. No customer should receive the level of experience especially new customer

",neg
"Disappointing and confusing experience

","Ordered a pair of shoes on November 27. No dispatch notice came through so contacted customer service on December 8. Was assured order was on its way and would arrive before Christmas. Then on December 13 I get an email saying my order is cancelled due to the item not being in stock with the partner and that a refund is incoming in the next two weeks. I then ordered the same shoes from a different site because it seemed like the matter was closed. The next day, I get two emails from Farfetch. One said that they had found the same shoes with a different partner and they’d notify me once they were dispatched. Then, after that, an email saying my refund (for the previous cancelled order) had been processed. This leaves me confused - I’m still getting the shoes but I’m also being refunded? Obviously not, because no business gives away things like that for free. All in all, a totally confusing process. It’s not clear enough to the customer that they’re ordering through Farfetch who source the product from a third party. Better communication needed at all stages of customer journey. Will be returning shoes when they arrive and €160 out of pocket before Christmas. Customer service sub par - communication looked like canned responses. Won’t ever be ordering from Farfetch again.

",neg
"Very Disappointed

","Received a different purse instead of the one I ordered. Very disappointed and will be returning.

",neg
"The trench was heavily stained

","The trench had stains and marks that probably won’t be fixed by dry cleaning. These were not shown on the pictures and I was extremely disappointed to see the spots when I received my order.

",neg
"still waiting from 26 October for this…

","still waiting from 26 October for this company to replace or sort a label print that came off coat moncleur after just 2 months.waited for someone to collect coat twice didn&apos;t show, 10/12 sent coat back myself and this was the reply,I&apos;m pleased to see that your item is on its way to our partner boutique for an assessment. This process may take 2 to 3 months to complete.The gift we bought was for 8 month old baby I don&apos;t think it will fit when we get it back.would not suggest you use this company as they are very bad with problems.26/10 made them aware of issue17/11 they told us to stay in on 18/11 for collection loads of notice for work. 29/11 to arrange pick up 1/12 waited in no one turned upthey said sorryarrange for another collection 10/12 got email 10/12 at 15.23 in the end sent it back myself.19 dec got this message on 14th decBrand assessmentKindly be informed that we will share your feedback with the partner, and will try to push them towards accepting it for a refund.20/12 update but still no refund and still no coat to wear.This is just to let you know, although we do not yet have an update from our partner boutique, rest assured that we are pushing them for a response as soon as possible. Once we hear from them, we will be back in touch.29/12 updateYour brand assessment is nearly completeAs soon as we have an update, we’ll be back in touch.30/12 /21 we have been told we will get a full refund.

",neg
"COMPLETE FRAUDSTERS!!!

","Further review as I am disgusted and at a complete loss with this company. Can someone please explain what your complaints procedure is? I&apos;m over £400 out of pocket at the moment with no 30th birthday present for my sister. Item marked as delivered on farfetch website but the tracking number I was provided from DHL they have never even received the item. Sounds like fraud to me!!!!! Customer services had the cheek to ask me if this was delivered to a neighbour when the boutique are clearly up to something dodgy. I have been told this is being investigated and they will make contact with the boutique and DHL. Last contact was on Wednesday and no reply to any further emails sent. REFUND ME MY MONEY!!!!!! I don&apos;t even want the item anymore I don&apos;t want a single thing more to Do with you

",neg
"DON&apos;T ORDER FROM FARFETCH! Received empty package and no refund.

","I had a terrible experience with Farfetch. On August 13th I received an empty package from Farfetch, that was supposed to contain a wallet that I paid 175.50 euros for. The package was sealed with the original Farfetch tape. I immediately contacted Farfetch to sort things out, and while they said that they would look into things, they did nothing to help. I called and emailed them multiple times, but eventually they just said it wasn’t their fault and I should contact UPS instead. I contacted UPS multiple times but they’re not helping either. They just say it’s “in progress”, but it’s been months now without any news. Even Paypal won’t help me get my money back.Farfetch, give me my money back!!

",neg
"So bad first experience !

","I received the shipment with out the brand box or bag ! How can I send it as gift ! They send it inside plastic bag only !!!!!!

",neg
"My replacement item was horrible it did…

","My replacement item was horrible it did not come with authenticity card or the bag or box that YSL has. The bag was literally rolling inside a huge box I’m so aggravated and will not kee an item like this when it was supposed to be a brand new product. I can not gift this it looks like it came out of my closet very lack luster ! I have definitely had a horrible experience with far fetch this far.

",neg
"Super bad experience

","After purchasing the product a week, it has extra 30% off on this item, and I’m super irritated. I had already used it, so I cannot return it and repurchase it.

",neg
"Don&apos;t buy from this company

","Don&apos;t buy from this companyWe ordered TAGLIATORE trench coat for our niece, but their website failed to mention the material is dotted with sequins throughout. The gift is to celebrate her first job after graduating from uni, so there was a huge disappointment when she realised it was not suitable to wear to work. It&apos;s more for night out. After a discussion we decided to return, and she promptly returned the item via their courier pick up with tag, the coat and box intact. She even took a photo as an evidence before handed it over to a courier. Now after 10 days they are claiming the item was damaged and there was no tag in the box. The coat is £542 and it&apos;s not a cheap item. Looks like they won&apos;t refund. Very disappointed and it&apos;s a reminder that we shouldn&apos;t buy an expensive item from other country.

",neg
"DON’T BUY FROM THIS COMPANY

","DON’T BUY FROM THIS COMPANY. RETURNS GET LOST NO REFUND FROM BOUTIQUES OR FARFETCH.  On 09/11/21 I ordered 3 items kept one returned 2. The cost of the two returned jeans was £731. They were from different boutiques in Europe. On 22/11/22 I was told that one had arrived in Amsterdam on route for Italy The 2nd pair needed to be returned to Portugal. Neither have arrived in the 2 boutiques by 09/12/21 I’m told that they are being held up in customs. Farfetch took no responsibility and blamed DHL and DHL blamed Farfetch. Meanwhile I am owed £731  I have neither the jeans or my money just when I need it for Christmas. Other reputable companies like Net-a-Porter, YOOX, My Theresa and The OUTNET have no difficulty with returns to Europe. Why does Farfetch? Good idea for a company but very badly managed since Brexit which happened almost a year ago! Don’t make the mistake that I made.

",neg
"Absolutely terrible!

","Absolutely terrible!! Order parcels they never arrive!! Farfetch blame DHL and DHL blame Farfetch fir not providing proper documentation Never again!  Do not buy from far fetch!

",neg
"I ordered a black tabi but receive a…

","I ordered a black tabi but receive a navy one

",neg
"Where is my order???!!!

","I made an order on the 25th November and paid the extra money for faster delivery. Not sure what use this has done, still waiting for this to even be received by courier. Can someone from customer service please contact me with a proper response on when this item is being shipped???? I am sending emails daily, and I am getting nowhere.*edit to say that I would like more than a standard &quot;this is already being investigated&quot; message in return. Clearly nobody is investigating this for me!!!! I would like to be contacted with the upmost urgency

",neg
"I got damaged item and they will not compensate me with a new one!

","I got this Prada bag for my fiancé and it came in used shape with plenty of scratches and paint all over the bag. The bag didn’t came with Pradas originally box, neither did they send Pradas dust bag, the bag came with 2 different certification/ID-no and none of them belonged to my bag! It didn’t say anything about being preowned or an “exhibition item” on their webshop. Their customer service apologized and told me that I will get a refund when I’ve returned the bag BUT THEY WILL NOT price match the discount that I got for my Gold membership. That’ll mean I have to add 240 % more than the price that I gave for the bag to get a new one. Apparently it’s their policy to not guarantee the customer/member their discounts bonuses that they collect shopping from them, they’ll not guarantee the authenticity and it’s condition of the item,I will never buy anything from this fraud company again!

",neg
